dt,value,mean,median,max,min,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,dayofweek_0,dayofweek_1,dayofweek_2,dayofweek_3,dayofweek_4,dayofweek_5,dayofweek_6,dayoff_0,dayoff_1,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9
2021-12-28 07:30:00,1.737,1.1619166666666667,0.99175,1.737,0.947,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0.01550000000000007,0.010499999999999954,-0.04200000000000004,0.039000000000000035,-0.014499999999999957,0.056499999999999995,-0.09049999999999991,-0.0050000000000001155,0.011500000000000066,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021-12-28 08:00:00,9.1985,2.531,1.17075,9.1985,0.947,0.395,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0.01550000000000007,0.010499999999999954,-0.04200000000000004,0.039000000000000035,-0.014499999999999957,0.056499999999999995,-0.09049999999999991,-0.0050000000000001155,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-28 08:30:00,14.059,4.707583333333333,1.5395,14.059,0.947,7.461499999999999,0.395,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0.01550000000000007,0.010499999999999954,-0.04200000000000004,0.039000000000000035,-0.014499999999999957,0.056499999999999995,-0.09049999999999991,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-28 09:00:00,10.1745,6.2455,5.46775,14.059,0.962,4.8605,7.461499999999999,0.395,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0.01550000000000007,0.010499999999999954,-0.04200000000000004,0.039000000000000035,-0.014499999999999957,0.056499999999999995,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-28 09:30:00,9.2705,7.630249999999999,9.2345,14.059,1.342,-3.884499999999999,4.8605,7.461499999999999,0.395,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0.01550000000000007,0.010499999999999954,-0.04200000000000004,0.039000000000000035,-0.014499999999999957,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-28 10:00:00,13.168,9.601249999999999,9.7225,14.059,1.737,-0.9039999999999999,-3.884499999999999,4.8605,7.461499999999999,0.395,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0.01550000000000007,0.010499999999999954,-0.04200000000000004,0.039000000000000035,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28 10:30:00,14.453,11.720583333333332,11.67125,14.453,9.1985,3.897499999999999,-0.9039999999999999,-3.884499999999999,4.8605,7.461499999999999,0.395,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0.01550000000000007,0.010499999999999954,-0.04200000000000004,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28 11:00:00,14.6985,12.63725,13.613499999999998,14.6985,9.2705,1.2850000000000001,3.897499999999999,-0.9039999999999999,-3.884499999999999,4.8605,7.461499999999999,0.395,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0.01550000000000007,0.010499999999999954,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28 11:30:00,14.769,12.755583333333334,13.8105,14.769,9.2705,0.24549999999999983,1.2850000000000001,3.897499999999999,-0.9039999999999999,-3.884499999999999,4.8605,7.461499999999999,0.395,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0.01550000000000007,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28 12:00:00,14.016,13.395833333333334,14.2345,14.769,9.2705,0.0705000000000009,0.24549999999999983,1.2850000000000001,3.897499999999999,-0.9039999999999999,-3.884499999999999,4.8605,7.461499999999999,0.395,0.3800000000000001,0.015000000000000013,-0.0525000000000001,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28 12:30:00,14.0775,14.196999999999997,14.26525,14.769,13.168,-0.7530000000000001,0.0705000000000009,0.24549999999999983,1.2850000000000001,3.897499999999999,-0.9039999999999999,-3.884499999999999,4.8605,7.461499999999999,0.395,0.3800000000000001,0.015000000000000013,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28 13:00:00,14.1595,14.362250000000001,14.306249999999999,14.769,14.016,0.061500000000000554,-0.7530000000000001,0.0705000000000009,0.24549999999999983,1.2850000000000001,3.897499999999999,-0.9039999999999999,-3.884499999999999,4.8605,7.461499999999999,0.395,0.3800000000000001,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28 13:30:00,13.896,14.269416666666666,14.118500000000001,14.769,13.896,0.08199999999999896,0.061500000000000554,-0.7530000000000001,0.0705000000000009,0.24549999999999983,1.2850000000000001,3.897499999999999,-0.9039999999999999,-3.884499999999999,4.8605,7.461499999999999,0.395,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28 14:00:00,13.586,14.084000000000001,14.04675,14.769,13.586,-0.26349999999999874,0.08199999999999896,0.061500000000000554,-0.7530000000000001,0.0705000000000009,0.24549999999999983,1.2850000000000001,3.897499999999999,-0.9039999999999999,-3.884499999999999,4.8605,7.461499999999999,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
